year;date;immat;kms;types;cat;operation;description;cost;supplier
2019;31/03/2019;AN 927 RK; 207 863 ;PNEUMATIQUE;PIECES;ENTRETIEN;PNEUS AV;32,00 €;MISTERCAR
2019;31/03/2019;AN 927 RK; 207 863 ;PNEUMATIQUE;PIECES;ENTRETIEN;PNEUS AV;89,20 €;MISTERCAR
2019;31/07/2019;AN 927 RK; 207 863 ;SERVICE;MO;CONTRÔLE;VAE;35,00 €;DEKRA
2019;31/08/2019;AN 927 RK; 207 863 ;MOTEUR;PIECES;ENTRETIEN;Circuit Clim.(charge);85,00 €;MISTERCAR
2019;13/10/2019;AN 927 RK; 207 863 ;CARROSSERIE;PIECES;CASSE;Coque;15,70 €;MISTERCAR
2019;30/11/2019;AN 927 RK; 210 000 ;PNEUMATIQUE;MO;ENTRETIEN;PNEUS;32,00 €;MISTERCAR
2019;30/11/2019;AN 927 RK; 210 000 ;PNEUMATIQUE;PIECES;ENTRETIEN;PNEUS AR;82,00 €;MISTERCAR
2019;17/12/2019;AN 927 RK; 219 104 ;CARROSSERIE;PIECES;CASSE;roue;25,00 €;MISTERCAR
2020;31/01/2020;AN 927 RK; 222 000 ;CARROSSERIE;MO;ENTRETIEN;ECLAIRAGE;25,50 €;MISTERCAR
2020;02/03/2020;AN 927 RK; 222 000 ;CARROSSERIE;PIECES;ENTRETIEN;ESSUI GLACE;35,80 €;MISTERCAR
2020;17/03/2020;AN 927 RK; 225 000 ;CARROSSERIE;MO;ENTRETIEN;ESSUI GLACE;126,80 €;MISTERCAR
2020;17/03/2020;AN 927 RK; 225 000 ;MOTEUR;PIECES;ENTRETIEN;Pignon vibrequin;82,00 €;MISTERCAR
2020;17/03/2020;AN 927 RK; 225 000 ;MOTEUR;PIECES;ENTRETIEN;Courroie accessoire;47,70 €;MISTERCAR
2020;17/03/2020;AN 927 RK; 225 000 ;MOTEUR;PIECES;ENTRETIEN;Poulie vibrequin;112,50 €;MISTERCAR
2020;17/03/2020;AN 927 RK; 225 000 ;MOTEUR;PIECES;PANNE;GALET ACCESSOIRE;27,60 €;MISTERCAR
2016;06/07/2016;AY 939 PH ; 45 078 ;CARROSSERIE;PIECES;ENTRETIEN;ESSUI GLACE;18,75 €;MISTERCAR
2016;20/09/2016;AY 939 PH ; 45 078 ;MOTEUR;PIECES;VIDANGE;Filtre gasoil;114,47 €;MISTERCAR
2016;27/09/2016;AY 939 PH ; 45 078 ;EMBRAYAGE;PIECES;CASSE;embrayage;1 145,25 €;MISTERCAR
2016;27/09/2016;AY 939 PH ; 45 078 ;FREINAGE;PIECES;ENTRETIEN;PLAQUETTE AR;94,95 €;MISTERCAR
2016;27/09/2016;AY 939 PH ; 45 078 ;MOTEUR;PIECES;VIDANGE;Filtre à air;27,41 €;MISTERCAR
2016;27/09/2016;AY 939 PH ; 45 078 ;MOTEUR;PIECES;VIDANGE;Filtre à huile;40,75 €;MISTERCAR
2016;27/09/2016;AY 939 PH ; 45 078 ;FREINAGE;MO;ENTRETIEN;FREINS;20,00 €;MISTERCAR
2016;27/09/2016;AY 939 PH ; 45 078 ;MOTEUR;MO;VIDANGE;vidange;25,00 €;MISTERCAR
2016;21/11/2016;AY 939 PH ; 45 078 ;MOTEUR;PIECES;VIDANGE;Filtre gasoil;52,14 €;MISTERCAR
2016;06/12/2016;AY 939 PH ; 62 317 ;PNEUMATIQUE;MO;ENTRETIEN;PNEUS;30,00 €;MISTERCAR
2016;06/12/2016;AY 939 PH ; 62 137 ;PNEUMATIQUE;PIECES;ENTRETIEN;PNEUS AV;127,36 €;MISTERCAR
2017;16/01/2017;AY 939 PH ; 62 317 ;EMBRAYAGE;PIECES;CASSE;embrayage;738,81 €;MISTERCAR
2017;28/01/2017;AY 939 PH ; 62 317 ;CARROSSERIE;PIECES;CASSE;Roulement roue;394,16 €;MISTERCAR
2017;31/01/2017;AY 939 PH ; 73 628 ;SERVICE;MO;CONTRÔLE;TACHY;539,00 €;OUEST_INJECTION
2017;31/01/2017;AY 939 PH ; 73 628 ;CARROSSERIE;PIECES;ENTRETIEN;eclairage;11,00 €;MISTERCAR
2017;31/01/2017;AY 939 PH ; 73 628 ;CARROSSERIE;PIECES;CASSE;Pont AR;4 731,40 €;MISTERCAR
2017;22/03/2017;AY 939 PH ; 73 628 ;MOTEUR;PIECES;PANNE ;batterie;141,10 €;MISTERCAR
2017;11/04/2017;AY 939 PH ; 93 964 ;MOTEUR;PIECES;VIDANGE;Filtre gasoil;25,40 €;MISTERCAR
2017;11/04/2017;AY 939 PH ; 93 964 ;MOTEUR;PIECES;VIDANGE;Filtre à air;27,00 €;MISTERCAR
2017;11/04/2017;AY 939 PH ; 93 964 ;MOTEUR;PIECES;VIDANGE;Filtre à huile;42,80 €;MISTERCAR
2017;11/04/2017;AY 939 PH ; 93 964 ;MOTEUR;MO;VIDANGE;vidange;25,00 €;MISTERCAR
2017;11/04/2017;AY 939 PH ; 93 964 ;PNEUMATIQUE;MO;CREVAISON;PNEUS;25,00 €;MISTERCAR
2017;27/08/2017;AY 939 PH ; 125 928 ;PNEUMATIQUE;MO;ENTRETIEN;PNEUS;90,00 €;MISTERCAR
2017;27/08/2017;AY 939 PH ; 125 928 ;PNEUMATIQUE;PIECES;ENTRETIEN;PNEUS AV;139,96 €;MISTERCAR
2017;27/08/2017;AY 939 PH ; 125 928 ;PNEUMATIQUE;PIECES;ENTRETIEN;PNEUS AR;279,92 €;MISTERCAR
2017;27/08/2017;AY 939 PH ; 125 928 ;FREINAGE;PIECES;ENTRETIEN;PLAQUETTE AV;82,70 €;MISTERCAR
