Date;Type_vehicule;immat;Score_Heure;Vitesse;Frein_brusques;Acc_brusques;Virages_brusques;Surregime;Total_points;Temps;Distance;conso
01/01/2022;T01 ;GB 292 CG (VP);4,2;3;7;18;1;204;39;09:10:58;540,2;6,1
01/01/2022;T03 ;FS 427 PY;0,2;8;7;0;0;10204;15;95:35:45;6047,8;6,2
01/01/2022;T05 ;FS 638 TT;1;42;8;12;1;2211;63;64:04:42;4794;10,3
01/01/2022;T05 ;FP 244 SJ;0,3;19;4;3;1;2467;27;81:23:23;5884;11,4
01/01/2022;T05 ;GB 527 AT;0,1;0;1;0;0;347;1;14:52:43;1076;8,5
01/01/2022;T06 ;EX 349 CC;2;140;3;18;5;6787;186;93:09:05;6943;9,4
01/01/2022;T06h; FD 791 LX;2,6;207;7;29;3;11390;246;93:00:19;6963;9,4
01/01/2022;T07 ;GA 480 ZY;4,6;145;4;6;0;0;175;37:53:02;2477;12
01/01/2022;T07 ;GC 153 MC;1,8;22;14;13;0;0;49;27:42:19;1666;11
01/01/2022;T07 ;FW 904 QA;1,1;49;5;8;0;0;62;57:30:48;3952;12,2
01/01/2022;T07 ;FG 652 DV;0,6;4;14;12;0;5318;50;82:35:05;5013;9,8
01/01/2022;T07 ;FT 075 YW;0,6;5;5;2;0;2838;62;107:25:31;6213;12,2
01/01/2022;T07 ;FR 457 YC;0,5;0;9;3;0;2221;22;45:00:23;2707;12,1
01/01/2022;T07 ;FV 033 SF;0,5;6;6;5;0;4085;47;102:26:52;6334;12,6
01/01/2022;T07 ;FT 406 AJ;0,1;2;2;1;0;1401;5;48:52:29;2965;11,8
01/01/2022;T07 ;FR 023 EB;0;2;0;0;1;5999;3;116:11:01;7116;12,7
01/01/2022;T07P; FV 793 BX;0,2;0;20;9;0;10919;29;124:38:18;7812;11,4
01/01/2022;T08 ;GD 563 JB;3,4;147;0;3;1;0;161;47:23:32;3401,2;12,6
01/01/2022;T08 ;FW 966 XT;1,3;60;10;26;0;5048;116;90:23:40;5853;11,5
