immat;type_vehicule
AN 927 RK;voiture
AY 939 PH ;pl plateau
BG 070 YN;pl plateau
BW 988 KD;pl bache
CD 910 XN;pl bache
CE 371 ZR;voiture
CS 674 YQ;voiture
CV 181 KA;pl
CV 617 QF;rem
DH 501 GT;pl
DP 521 CN;pl
DR 029 WS;vl
EE 948 HE;fourgon
EE 948 HE ;fourgon
EG 418 JW;plateau
EL 262 EK;bache
EL 821 EP;voiture
EM 087 AQ (rem);rem
EP 795 AD;vl plateau
ER 171 EA ;vl plateau
ES 528 VB (rem);rem
ET 385 VP;vl plateau
ET 548 EH;vl bache
ET 648 DF;vl bache
EV 225 WM;voiture
EX 349 CC;fourgon
EX 966 SP;fourgon
EY 306 ZH;voiture
FB 153 TX (rem);rem
FC 111 LB;vl plateau
FD 791 LX ;fourgon
FE 556 JG (rem);rem
FG 241 YH;vl bache
FG 652 DV ;vl bache
FM 228 LZ;fourgon
FP 244 SJ ;fourgon
FQ 168 KE;fourgon
FR 008 EB;vl bache
FR 023 EB;vl bache
FR 289 RD;vl bache
FR 457 YC;vl plateau
FS 427 PY;fourgon
FS 638 TT;fourgon
FT 075 YW;vl plateau
FT 406 AJ;vl plateau
FV 033 SF;vl bache
FV 480 WT;vl bache
FV 793 BX;vl bache
FW 527 LZ;vl bache
FW 904 QA;vl plateau
FW 966 XT;vl bache
FX 516 DQ (rem);rem
FX 614 CM;vl bache
FY 162 FV;porteur
FY 394 ZC;porteur
GA 480 ZY;vl plateau
GA 673 PS;vl bache
GB 292 GC (vp);voiture
GB 527 AT;fourgon
GC 013 BY;porteur
GC 153 MC;vl plateau
GD 563 JB;vl bache
GE 801 DK;porteur
