code prestation;libelle_prestation;type_service;type_vehicule;code type de prestation;code famille de prestation;code agence
T01;T01 BREAK 2M3;T01;voiture;C;VL;1DAY44
T02;T02 BREAK 4M3;T02;fourgon;C;VL;1DAY44
T03;T03 BREAK 6M3;T03;fourgon;C;VL;1DAY44
T04;T04 FOURGON 8M3;T04;fourgon;C;VL;1DAY44
T05;T05 FOURGON 10M3;T05;fourgon;C;VL;1DAY44
T06;T06 FOURGON 12M3;T06;fourgon;C;VL;1DAY44
T06H;T06H FOURGON HAYON 12M3;T06H;fourgon;C;VL;1DAY44
T07;T07 PLATEAU;T07;plateau;C;VL;1DAY44
T07P;T07 PLATEAU PLUS;T07P;plateau;C;VL;1DAY44
T08;T08 BACHE 20M3;T08;bache;C;VL;1DAY44
T08P;T08 BACHE 20M3 PLUS;T08P;bache;C;VL;1DAY44
T09;T09 BACHE HAYON 20M3;T09;bache;C;VL;1DAY44
T09P;T09 BACHE HAYON 20M3 PLUS;T09P;bache;C;VL;1DAY44
T10;T10 PLATEAU AVEC REMORQUE;T10;plateau;C;VL;1DAY44
T10P;T10 + PLATEAU AVEC REMORQUE;T10P;plateau;C;VL;1DAY44
T11;T11 BACHE AVEC REMORQUE 40M3;T11;bache;C;VL;1DAY44
T11P;T11 + BACHE AVEC REMORQUE 40M3;T11P;bache;C;VL;1DAY44
T12P;T12+ TRACTEUR PLATEAU 8M;T12P;pl plateau;C;VL;1DAY44
T13;T13 TRACTEUR PLATEAU 6M AVEC GRUE;T13;pl plateau;C;VL;1DAY44
T14;T14 BACHE 31M3 AVEC HAYON;T14;porteur;C;VL;1DAY44
T15;T15 BACHE 45M3;T15;porteur;C;VL;1DAY44
T20;T20 19T PLATEAU SANS GRUE;T20;pl;C;VL;1DAY44
T20G;T20 19T PLATEAU AVEC GRUE;T20G;pl;C;VL;1DAY44
T21G;T21 19T PLATEAU AVEC GRUE;T21G;pl;v;VL;1DAY44
AT01;ADR T01 BREAK 2M3;T01;voiture;C;VL;1DAY44
AT02;ADR T02 BREAK 4M3;T02;fourgon;C;ADRVL;1DAY44
AT03;ADR T03 BREAK 6M3;T03;fourgon;C;ADRVL;1DAY44
AT04;ADR T04 FOURGON 8M3;T04;fourgon;C;ADRVL;1DAY44
AT05;ADR T05 FOURGON 10M3;T05;fourgon;C;ADRVL;1DAY44
AT06;ADR T06 FOURGON 12M3;T06;fourgon;C;ADRVL;1DAY44
AT06H;ADR T06H FOURGON HAYON 12M3;T06H;fourgon;C;ADRVL;1DAY44
AT07;ADR T07 PLATEAU;T07;plateau;C;ADRVL;1DAY44
AT07P;ADR T07 PLATEAU PLUS;T07P;plateau;C;ADRVL;1DAY44
